ID;Ctot
c1_3;64.644722
c1_4;45.267877
c1_5;46.110817
c1_6;44.308648
c1_9;57.322735
c1_10;64.251813
c1_12;51.804912
c1_13;65.233867
c1_15;57.987468
c1_16;67.543096
c1_19;51.364681
c1_21;54.853452
c1_22;47.71614
c1_23;65.751978
c1_24;50.772387
c1_25;78.093357
c2_1;26.795827
c2_2;28.154022
c2_3;26.095333
c2_4;35.637205
c2_5;42.199424
c2_6;24.78331
c2_7;33.346905
c2_8;31.83644
c2_9;23.799639
c2_10;24.896497
c2_11;37.670455
c2_12;38.096112
c2_13;42.128976
c2_14;31.76381
c2_15;31.572887
c2_16;40.726226
c2_17;33.455118
c2_18;42.337741
c2_19;25.730291
c2_20;31.362718
c2_22;21.837512
c2_23;22.506188
c2_24;30.079233
c2_25;33.343073
c3_1;19.855197
c3_2;16.563218
c3_3;15.838158
c3_4;23.300609
c3_5;22.99299
c3_6;29.460175
c3_7;12.920669
c3_8;14.402517
c3_9;18.974081
c3_10;12.610724
c3_11;16.605103
c3_12;18.135105
c3_13;21.642736
c3_14;18.004564
c3_15;10.958012
c3_16;17.031159
c3_17;21.329846
c3_18;15.771033
c3_19;12.254043
c3_20;12.140822
c3_21;8.871724
c3_22;14.795303
c3_23;9.439949
c3_24;14.25297
c3_25;14.112362
